task_id,communication_round,time,algo,dataset,use_contrastive,avg_params,avg_params_stderr,avg_params_std
3,30,153,modular,kmnist,True,0.0039118012321393125,6.92286488771417e-05,0.00039161637658727494
3,30,153,modular,mnist,True,0.0036039134169445967,3.9600001754738926e-05,0.00022401143820620064
3,30,153,monolithic,fashionmnist,True,0.0034506807941007377,0.00010663934369541835,0.0006032432245465058
3,30,153,monolithic,kmnist,True,0.0038788222173024686,6.029410272611445e-05,0.00034107495122555066
3,30,153,monolithic,mnist,True,0.0038457064674080562,7.354154492066989e-05,0.0004160138008987262
3,40,163,modular,fashionmnist,True,0.0052663578644569,0.00013346543182741018,0.0007549944951932209
3,40,163,modular,kmnist,True,0.003995601912070612,6.798530066048819e-05,0.0003845829369442997
3,40,163,modular,mnist,True,0.003738602323989725,3.78219692347857e-05,0.00021395336738996759
3,40,163,monolithic,fashionmnist,True,0.0034178920377598314,0.0001063695783699347,0.0006017172014186779
3,40,163,monolithic,kmnist,True,0.0038007185859376437,6.166071022188445e-05,0.0003488056506453853
3,40,163,monolithic,mnist,True,0.0037608261771180564,7.444784548167144e-05,0.00042114061107854516
4,0,164,modular,fashionmnist,True,0.007682813096575263,0.00017311197745744223,0.0009792692253181613
4,0,164,modular,kmnist,True,0.006179755459535378,6.891175026947948e-05,0.0003898237273518627
4,0,164,modular,mnist,True,0.005968678322980278,4.963473470453607e-05,0.0002807764599357818
4,0,164,monolithic,fashionmnist,True,0.01758136408924262,0.0007417506046814414,0.004195975060155755
4,0,164,monolithic,kmnist,True,0.02014218428770874,0.0002601568565710945,0.0014716694196287756
4,0,164,monolithic,mnist,True,0.017040260656878095,0.00026921369504133566,0.0015229026348161255
4,10,174,modular,fashionmnist,True,0.007045069488023156,0.00015237561142245003,0.0008619666249940861
4,10,174,modular,kmnist,True,0.005272071205971334,8.5185029377843e-05,0.0004818792954291845
4,10,174,modular,mnist,True,0.005107440631036247,5.606649267564903e-05,0.00031715997734637865
4,10,174,monolithic,fashionmnist,True,0.0048684841140778845,9.830386800841654e-05,0.0005560906534849492
4,10,174,monolithic,kmnist,True,0.005007152250982419,8.823990250144976e-05,0.0004991602674401194
4,10,174,monolithic,mnist,True,0.004836458081367016,9.346257222004181e-05,0.000528704148831432
4,20,184,modular,fashionmnist,True,0.006970430099110106,0.00017077745539217793,0.0009660631742527372
4,20,184,modular,kmnist,True,0.005314084010024041,8.478990451083712e-05,0.0004796441316461821
4,20,184,modular,mnist,True,0.005097036938552991,5.3111127503927515e-05,0.00030044190731592403
4,20,184,monolithic,fashionmnist,True,0.004645180776541125,9.760562246282088e-05,0.0005521407802031573
4,20,184,monolithic,kmnist,True,0.004905265465822541,8.792743958575996e-05,0.0004973927102676908
4,20,184,monolithic,mnist,True,0.004773366783800622,8.732881283988781e-05,0.0004940063660164441
4,30,194,modular,fashionmnist,True,0.00671212441842981,0.0001482336897405854,0.0008385363777269656
4,30,194,modular,kmnist,True,0.005458610996096672,6.394480659459645e-05,0.00036172645091761134
4,30,194,modular,mnist,True,0.005174726135529794,5.2906291641334805e-05,0.000299283180696168
4,30,194,monolithic,fashionmnist,True,0.004554245242746034,0.00010780922124172971,0.000609861051315743
4,30,194,monolithic,kmnist,True,0.0048718677202746466,7.46581992039828e-05,0.0004223305514264988
4,30,194,monolithic,mnist,True,0.004621596914408347,7.868692027159937e-05,0.00044512043931786504
4,40,204,modular,fashionmnist,True,0.006616807615240978,0.00014257891305914593,0.0008065481302266343
4,40,204,modular,kmnist,True,0.005446182890539428,5.4549550180425126e-05,0.0003085788547460357
4,40,204,modular,mnist,True,0.005279052309041181,5.530615208745464e-05,0.0003128588414589897
4,40,204,monolithic,fashionmnist,True,0.004453176352593997,0.00010508683983125458,0.0005944609364651576
4,40,204,monolithic,kmnist,True,0.0048673453277712315,7.706151228099447e-05,0.00043592574321905285
4,40,204,monolithic,mnist,True,0.0046366835796496095,8.887329024809646e-05,0.0005027432496063142
5,0,205,modular,fashionmnist,True,0.009102704216534816,0.00013155979474465548,0.0007442145839636497
5,0,205,modular,kmnist,True,0.007839142013316194,6.381790635077574e-05,0.0003610085947340925
5,0,205,modular,mnist,True,0.007663603222421656,7.980986163852474e-05,0.0004514727549612876
5,0,205,monolithic,fashionmnist,True,0.019587399455693703,0.0006482416802825241,0.0036670087038042777
5,0,205,monolithic,kmnist,True,0.02300873078378827,0.000259759350058545,0.0014694207832240593
5,0,205,monolithic,mnist,True,0.020958493385218598,0.00025242262163490504,0.00142791797986342
5,10,215,modular,fashionmnist,True,0.006973311298549644,0.00015409006314501795,0.000871665028506444
5,10,215,modular,kmnist,True,0.00495803337928784,4.784226151522141e-05,0.000270636700357706
5,10,215,modular,mnist,True,0.004766248908708763,5.692867303407495e-05,0.0003220372059707692
5,10,215,monolithic,fashionmnist,True,0.004799644628746994,8.829012422902378e-05,0.0004994443644331634
5,10,215,monolithic,kmnist,True,0.0047518712113482,4.923423828630744e-05,0.0002785109100704187
5,10,215,monolithic,mnist,True,0.004795029653126044,7.57357892145632e-05,0.00042842632105706107
5,20,225,modular,fashionmnist,True,0.0067588687935702186,0.00014473831895055208,0.0008187635746198141
5,20,225,modular,kmnist,True,0.005013435358445566,3.9354300802029894e-05,0.00022262154372776422
5,20,225,modular,mnist,True,0.004948421731179559,5.079197000552826e-05,0.0002873227713658621
5,20,225,monolithic,fashionmnist,True,0.004619006948944663,8.564123982447582e-05,0.00048446001143288213
5,20,225,monolithic,kmnist,True,0.004743698300379503,5.7564148913399596e-05,0.0003256320003991767
5,20,225,monolithic,mnist,True,0.004679207503288856,7.275338414471002e-05,0.00041155529026395445
5,30,235,modular,fashionmnist,True,0.006640681500617275,0.00011783404427809897,0.0006665700141094375
5,30,235,modular,kmnist,True,0.0051393060631588034,3.4745781644482565e-05,0.00019655182254752556
5,30,235,modular,mnist,True,0.0049775219943382215,5.368835697844612e-05,0.00030370721032178685
5,30,235,monolithic,fashionmnist,True,0.0045917033264361124,7.802901172053231e-05,0.00044139874653498397
5,30,235,monolithic,kmnist,True,0.004752456920219319,6.065469725295182e-05,0.00034311478190703434
5,30,235,monolithic,mnist,True,0.00468062439709419,6.990646751801267e-05,0.00039545069784627105
5,40,245,modular,fashionmnist,True,0.006615517678645591,0.00011735795010187332,0.0006638768187454968
5,40,245,modular,kmnist,True,0.005287846062856206,4.11832641212295e-05,0.00023296772265214417
5,40,245,modular,mnist,True,0.005195307000706456,5.243475603914488e-05,0.00029661577252113297
5,40,245,monolithic,fashionmnist,True,0.004445232745573334,7.502332833208556e-05,0.00042439603368642036
5,40,245,monolithic,kmnist,True,0.004677487458528528,5.713891504036319e-05,0.0003232265143574626
5,40,245,monolithic,mnist,True,0.004661177812132678,7.623428959494732e-05,0.0004312462650522105
